,year,station,PM2.5,PM10,NO2,SO2,CO,TEMP,O3
0,2013,Aotizhongxin,82.44334673298358,112.92528774773548,63.400601291071794,23.57420388016727,1157.0405815972222,15.497739651416122,48.30339518515896
1,2013,Changping,72.53074036165131,91.20840713993732,41.053881844360646,19.202954780467785,1036.126562045917,15.961397058823529,61.29010899883665
2,2013,Dingling,65.38346846227842,79.11646144321386,29.45516865323436,14.013376671035386,895.9133208255159,15.961397058823529,64.69289299618983
3,2013,Dongsi,86.90189068408388,105.0160848733744,57.46443761058912,23.903031288766368,1415.0666333915647,15.963657407407409,64.25500714040508
4,2013,Guanyuan,81.91135335252983,107.92440545541773,58.234850652128905,21.826515316793113,1131.2365727002968,15.497739651416122,56.27209469399414
5,2013,Gucheng,82.02123419461242,112.62306274322387,61.44517778691333,17.601277352920988,1356.113893553333,15.927879572236224,55.883675711249744
6,2013,Huairou,69.29299805501529,97.01038925058873,35.69770652065349,17.055448298847384,993.2329119348618,14.660334967320262,63.942443441762855
7,2013,Nongzhanguan,84.36732882790635,103.79274858583793,59.586857376264696,23.24399007836457,1294.461582040932,15.963657407407409,56.15745029735457
8,2013,Shunyi,76.79848883959518,95.3868563222321,41.61285417435898,15.401683531648244,1250.92634915954,15.53510348583878,56.21125228210063
9,2013,Tiantan,83.22984118328675,108.28595773687798,53.25745486888829,18.198171264916468,1316.7619314991578,15.963657407407409,55.291588893476465
10,2013,Wanliu,91.54469216608713,112.34830924461413,68.56735233593643,23.650618867408976,1284.465377935513,15.497739651416122,46.318228983616066
11,2013,Wanshouxigong,83.9000477913566,111.25303174819457,56.086085500993086,21.803581469604968,1424.7805465099816,15.854153050108932,54.00563034134008
12,2014,Aotizhongxin,91.1138995004408,123.25277989784536,64.06949012185024,21.677051985602173,1202.993799822852,13.878127853881278,48.76875258523902
13,2014,Changping,79.75065839085795,106.99740304709141,45.73162739535692,21.201884175239858,1212.3161551823973,14.172511415525113,63.302238158579605
14,2014,Dingling,74.99102838314354,91.00952793667302,27.351290266208423,14.660947429231658,884.9603610902146,14.172511415525113,72.57793075403741
15,2014,Dongsi,87.85682144292028,117.33165892539711,52.8161080357686,24.04381848430956,1376.0578744904403,13.88115296803653,57.06120853216811
16,2014,Guanyuan,88.48149688149688,115.93735645383555,64.04054962894249,23.164698048752243,1354.1116516099144,13.878127853881278,54.962356221680025
17,2014,Gucheng,90.10677584914366,134.4523908045977,62.23075498987562,21.18554869961363,1434.1592716376629,14.43203949997146,61.13442086183711
18,2014,Huairou,77.42200116346713,100.1785934142517,37.2383210396909,17.70776766969909,1071.823591179559,12.801164516497316,68.14689028651293
19,2014,Nongzhanguan,91.36826495874445,126.46013373299515,62.267906544228765,24.721342870327643,1344.2180807963884,13.88115296803653,59.53872512258437
20,2014,Shunyi,85.10775001442668,111.30842183822263,47.37008004743552,17.6263670411985,1171.613314776154,13.838949771689498,58.156643760466594
21,2014,Tiantan,87.00259921906871,114.99717612809316,55.903762527105435,19.62215151878977,1329.1213291213292,13.88115296803653,57.10016389604308
22,2014,Wanliu,89.96687898089172,130.7345023207839,75.56675699048716,25.05889023896314,1374.1620192031278,13.87840182648402,41.42656929741277
23,2014,Wanshouxigong,90.31248339206284,127.0268180246629,61.92809970298759,22.85639534883721,1436.7653917910447,14.29263698630137,56.71606706252183
24,2015,Aotizhongxin,82.09671752196024,112.10859357060849,60.96432593954717,14.367367332873881,1418.3117257274562,13.47656777518634,63.74265855777585
25,2015,Changping,69.42173609494996,93.8716099484028,42.90289637664436,11.745058877857307,1164.602689133822,13.588606774556338,58.04404706968159
26,2015,Dingling,64.50701280799495,85.3453543758967,26.84892210405289,11.33306150577155,965.64889885573,13.588606774556338,71.02637793008121
27,2015,Dongsi,87.19368711550624,111.99448520981427,50.358800596261894,15.20190301501777,1337.8446546288335,13.430512289400275,55.758035304906
28,2015,Guanyuan,82.33155203125898,106.34317999311689,54.9548353791442,14.083499484358885,1314.4969057987623,13.476567775186322,56.787737092430234
29,2015,Gucheng,83.74269908954709,116.26981218769743,49.731479023602056,13.350324470223397,1323.4074329369867,14.044500749050874,60.674144268320696
30,2015,Huairou,70.74033177812338,89.8336162890737,28.35757785068785,8.683565587930438,1040.9394043923191,12.430774445978289,59.93509481961147
31,2015,Nongzhanguan,85.78081779219275,107.25996892801658,58.37739670848199,15.843033022667125,1380.7187284035936,13.43051228940029,61.231303947519855
32,2015,Shunyi,81.52944355024144,100.12299655568313,43.08269574750447,10.462764114998269,1183.2916836171325,13.271613198375936,51.71949867159524
33,2015,Tiantan,82.40727859034897,102.88773763712595,51.965111865186635,11.830961140492066,1301.9727382527176,13.430512289400275,60.228632208359684
34,2015,Wanliu,80.45259886030047,106.62553228120515,59.794968851972705,14.822035071527457,1329.5932437090657,13.354055692376278,51.8045950336505
35,2015,Wanshouxigong,84.60432419932941,111.17617652128943,52.79229530818767,14.320809847003336,1362.6573185449113,13.564102647737542,59.099276776489496
36,2016,Aotizhongxin,74.44218273819791,94.55490634129576,48.38702796194869,10.85241482161294,1193.1995412844037,13.868645505959725,62.05604719764012
37,2016,Changping,61.620258966426036,86.43543956043956,45.550933883350524,8.160013764624914,1126.2246185614317,13.495877639213155,53.94676283702559
38,2016,Dingling,61.52062333449195,80.57318757192175,25.40302803523113,7.173800334120629,870.0589459084605,13.495877638972724,74.6959728400843
39,2016,Dongsi,80.40708684286959,103.09503127171646,50.97976928873688,11.499884151992585,1239.055072463768,13.868645505959725,56.38781307977737
40,2016,Guanyuan,77.21867110397062,104.87215762643909,53.48739783962965,11.482198982799018,1169.4041867954911,13.868645505959725,54.950200114351055
41,2016,Gucheng,77.4330808080808,110.86400045771828,49.8579532431813,10.205579693574204,1171.2478534630795,13.543711697005069,59.53090867501572
42,2016,Huairou,61.03388467723409,82.2717734074881,27.393639904656705,6.633727606798346,931.3443151710633,12.41015683201322,53.33588137249267
43,2016,Nongzhanguan,76.06327735427294,96.99261971508668,52.48802756244617,11.548315121002346,1210.5172215182583,13.868645505959725,60.223112586572036
44,2016,Shunyi,72.52067026149476,88.113230449107,42.707311375846764,9.596124664409945,1094.0692312182593,13.386344917199985,54.27122513969837
45,2016,Tiantan,73.86887971562894,97.20384791571232,50.00566329157371,8.939305531720153,1197.2141181854586,13.868645505959725,55.464114010989015
